side,entry_timing,rows,clusters,median_sample,best_median,median_p10,median_stress,positive_stress_rate
short,3m,229,4,38.0,23.821711540222168,-4.224158823490143,21.292662620544437,100.0
short,5m,1127,10,34.0,23.300617933273315,-3.2241586595773697,2.345197461545468,64.06388642413488
long,30s,50949,210,321.0,23.294341564178467,-2.2241588681936264,7.507523149251938,83.85836817209366
long,1m,40607,184,201.0,20.079436898231503,-2.2241588681936264,4.716241732239723,75.56578914965401
long,T0,52566,308,147.0,19.77584660053253,-2.2241588681936264,2.4769850075244904,76.33451280295247
long,5m,24464,204,334.0,19.353583455085754,-4.224158823490143,2.507523261010647,61.97678221059516
short,T0,1132,10,22.0,18.591713905334476,-2.2241588681936264,1.3174660503864288,64.57597173144876
long,3m,27598,144,764.0,18.051189184188843,-4.224158823490143,7.016695290803909,85.31777665048192
short,1m,1162,11,34.0,16.43121987581253,-4.224158823490143,10.715827345848083,73.407917383821
short,30s,166,2,25.0,0.9758410975337029,-0.8629730902612209,0.5807502195239067,100.0
