side,exit_family,strategies,median_sample,best_median,median_of_medians,median_p10,median_stress,unique_clusters
short,time_decay,1312,34.0,23.821711540222168,7.406754046678543,-4.224158823490143,7.138436287641525,14
long,state_machine,25303,236.0,23.294341564178467,9.026999771595,-3.2241586595773697,8.758682012557983,140
long,breakeven_ratchet,24002,321.0,21.86616957187653,12.545934319496157,-2.2241588681936264,12.277616560459135,71
long,failed_continuation,14812,420.0,20.80548107624054,7.442941516637802,-3.2241586595773697,7.174623757600784,57
long,indicator_invalidation,5263,102.0,19.70979869365692,9.7024567425251,-5.224158987402916,9.434138983488085,41
long,runner_trail,26071,245.0,19.61088627576828,8.881860971450806,-3.2241586595773697,8.613543212413788,129
long,time_decay,17730,321.0,19.248196482658383,10.618220269680023,-4.224158823490143,10.349902510643004,104
long,prove_or_exit,3104,51.0,17.454664409160614,3.996090590953827,-1.5140457078814509,3.727772831916809,23
short,breakeven_ratchet,708,27.0,14.956560730934145,11.70533522963524,-5.224158987402916,11.43701747059822,4
long,partial_ladder,15648,321.0,13.00937682390213,5.140414088964462,-3.2241586595773697,4.8720963299274445,104
long,multi_tp_sl,8040,346.0,11.775840818881989,4.275841265916824,-3.2241586595773697,4.007523506879807,91
long,fixed_tp_sl,9822,347.0,7.775840908288956,2.7758410200476646,-2.2241588681936264,2.507523261010647,78
short,state_machine,500,25.0,6.498824805021286,2.370789647102356,-2.2241588681936264,2.102471888065338,6
short,runner_trail,146,23.0,2.7148937806487083,1.9148938357830048,-1.2695886194705963,1.646576076745987,2
long,trailing_stop,46389,160.0,2.1675296127796173,-0.2090291352942586,-2.1652793511748314,-0.477346871048212,212
short,partial_ladder,30,24.0,2.1484728902578354,1.056472770869732,-1.90607700496912,0.7881550118327141,1
short,multi_tp_sl,97,23.0,2.123912423849106,0.9758410975337029,-1.3055229559540749,0.707523338496685,3
short,indicator_invalidation,179,33.0,1.7273325473070145,1.7273325473070145,-2.2241588681936264,1.4590147882699966,2
short,trailing_stop,844,23.0,-0.1939991721883416,-0.2683953614905476,-1.0904698632657528,-0.5367130972445011,5
