side,entry_timing,strategies,median_sample,best_median,median_of_medians,median_p10,median_stress,unique_clusters
short,3m,229,38.0,23.821711540222168,21.56098037958145,-4.224158823490143,21.292662620544437,4
short,5m,1127,34.0,23.300617933273315,2.613515220582485,-3.2241586595773697,2.345197461545468,10
long,30s,50949,321.0,23.294341564178467,7.775840908288956,-2.2241588681936264,7.507523149251938,210
long,1m,40607,201.0,20.079436898231503,4.984559491276741,-2.2241588681936264,4.716241732239723,184
long,T0,52566,147.0,19.77584660053253,2.745302766561508,-2.2241588681936264,2.4769850075244904,308
long,5m,24464,334.0,19.353583455085754,2.7758410200476646,-4.224158823490143,2.507523261010647,204
short,T0,1132,22.0,18.591713905334476,1.5857838094234469,-2.2241588681936264,1.3174660503864288,10
long,3m,27598,764.0,18.051189184188843,7.285013049840927,-4.224158823490143,7.016695290803909,144
short,1m,1162,34.0,16.43121987581253,10.9841451048851,-4.224158823490143,10.715827345848083,11
short,30s,166,25.0,0.9758410975337029,0.8490679785609245,-0.8629730902612209,0.5807502195239067,2
